Location,Zone,Agents,Listings,Leads,Revenue (Agency)
4,3,12,1208,4508,151665
7,1,79,12032,55583,4956978
8,2,36,12928,51601,700487
9,1,291,137653,414621,26145970
9,3,326,131008,449630,29688600
48,3,20,3994,13128,348391
58,3,46,9078,38810,495902
67,1,3,410,3001,30949
69,1,9,1460,6060,85758
79,3,20,4384,17512,312043
81,3,79,14089,58607,1926938
88,1,5,367,1571,17164
93,2,150,43748,165197,4236085
107,1,2,298,1205,218905
128,2,80,19044,59610,3718855
145,3,6,1376,5443,191779
146,3,24,3666,16171,205772
153,2,11,1318,6783,83497
163,3,3,642,2211,135430
325,1,1,80,436,2880
326,2,3,205,1204,47513
373,1,50,13376,45383,1447895
377,2,14,949,4979,24071
378,2,21,6104,18397,1148429
383,2,247,96714,331344,23625544
398,3,37,11772,49028,1433011
408,2,7,1979,6182,230000
410,3,11,3584,8736,135250
417,2,1,112,497,39999
427,1,49,6761,28479,1248448
431,3,19,2847,10308,289046
435,3,19,2161,7843,235521
444,1,24,7319,22681,992037
446,1,5,632,2026,106143
450,2,5,836,3725,137685
456,2,9,1942,6806,89180
479,2,1,22,46,6850
483,2,9,2178,5871,204604
487,3,17,4759,16297,663310
489,2,7,1218,5273,49567
497,2,2,179,553,117641
498,1,1,67,261,5451
499,2,3,354,1735,72322
514,2,7,1318,5013,21687
520,1,1,38,103,1152
528,2,2,60,272,29937
547,3,14,3021,11547,362494
562,2,30,4022,13845,71939
566,1,1,27,43,1496
571,1,6,1355,3774,90953
599,3,15,2672,8571,281621
615,2,1,130,546,33352
634,2,9,399,2177,33114
637,3,5,973,3139,82781
747,3,2,6,12,3594
756,2,6,1128,3537,83590
757,2,2,236,899,27588
759,3,1,393,1136,39445
760,3,10,1028,6744,65213
763,1,6,1008,4400,99400
765,1,24,5331,16233,441974
781,2,3,255,915,22269
877,3,1,3,6,3699
893,1,10,1878,7874,96980
989,2,2,470,8174,580225
1006,3,37,8555,30347,1507879
1012,1,1,43,89,7048
1013,2,24,4091,15618,422026
1014,2,28,7257,18696,780790
1020,3,4,810,1817,40098
1023,3,7,259,842,14636
1024,1,8,1950,7087,139147
1027,3,17,1337,4257,371563
1040,1,2,50,86,2591
1041,1,1,12,78,1466
1047,2,12,946,3627,37153
1050,3,35,4437,16819,300877
1052,2,6,2767,7662,268681
1053,3,2,740,3230,22039
1101,3,12,2485,7965,275211
1103,1,11,12223,30729,2219376
1134,3,3,462,1731,29609
1170,3,9,1484,5245,96815
1210,3,2,238,547,31402
1212,2,1,3,8,671
1242,2,3,89,242,16170
1262,2,1,76,528,112046
1269,2,4,1885,6674,146920
1287,3,17,2730,10682,401218
1290,1,9,2807,12036,280386
1291,2,1,50,306,9117
1357,2,1,75,170,5999
1359,1,4,1160,3658,200631
1369,3,2,394,885,4524
1410,1,16,4548,14835,495163
1456,1,1,296,966,21643
1459,2,3,461,2117,78115
1466,3,8,2557,7335,220224
1474,2,22,5290,19762,1845018
1487,1,3,1378,4038,149866
1491,3,4,349,868,12351
1514,1,9,1408,6892,134041
1683,3,2,126,322,3672
1718,1,1,42,147,2401
3023,2,1,71,171,43638
3096,2,1,222,1445,79977
3098,1,13,5420,17023,452381
3101,2,5,1144,4025,99751
3555,2,27,5294,22028,1011184
4359,3,7,1956,5388,107206
4361,2,1,36,101,1998
4391,2,3,181,698,5540
4398,1,2,292,3026,69416
4409,2,1,38,265,5350
4410,2,1,44,220,9892
4425,2,1,89,425,2656
4430,2,3,416,1551,34334
4442,3,2,546,2075,38581
4470,3,2,283,525,15385
4486,2,1,126,259,6731
4492,1,1,54,399,25000
4501,3,2,342,1000,10120
4502,3,1,503,1673,28545
4504,3,11,2460,9631,130588
4510,2,15,2369,7505,673546
4526,1,1,107,233,3346
4527,1,1,51,318,648
4535,2,1,35,135,5000
4549,2,1,9,25,514
4555,2,3,109,258,4655
4560,2,1,105,341,9267
4573,2,1,86,273,30930
4574,3,15,1530,4587,160331
4576,1,25,5293,18067,326887
4632,1,1,27,130,1254
5263,2,1,45,250,6695
6438,3,1,105,681,3654
6957,3,1,88,573,4528
7421,3,1,114,392,31524
8117,3,3,335,2693,12239
8145,1,23,4992,17727,816987
8150,3,1,167,953,40343
8259,1,11,1182,4957,181425
8287,2,6,1009,2810,241402
8288,3,2,272,1074,4305
8290,1,6,1235,3957,155162
8326,3,1,368,1345,3695
8334,2,1,45,201,29460
8353,1,1,29,114,31099
8372,3,7,740,3297,103953
8375,3,1,271,646,11109
8425,2,6,1519,6275,202283
8446,3,1,237,1011,30720
8573,2,1,145,322,5692
8600,2,1,134,374,2863
8834,1,1,30,82,40477
8837,2,1,315,806,31369
8855,2,7,1773,6392,280060
8911,3,3,751,5125,127402
8950,1,1,151,507,2001
9181,2,1,61,107,1700
9212,2,1,16,83,8998
9282,3,14,1774,12239,428423
9329,3,3,214,648,12637
9358,1,4,688,5797,61323
9371,1,1,211,786,27169
9437,1,1,9,41,861
9465,3,1,128,207,4145
9710,3,1,115,434,7227
9716,1,1,66,132,3168
9819,2,2,227,928,42046
9866,3,2,482,3203,73875
9883,2,2,208,515,5710
9932,3,3,360,2140,14857
9947,3,1,228,577,4527
9989,3,1,31,77,4105
9998,1,1,358,5063,47054
10093,2,1,21,37,2172
10113,2,3,110,1662,10928
10393,1,1,147,487,23969
10491,1,1,4,10,216
10638,2,1,45,123,15894
10699,2,1,59,180,7282
10722,1,6,3939,9735,233861
10907,1,1,25,89,2083
10953,2,1,149,817,39445
11094,3,1,259,1903,270575
11213,2,1,332,815,17488
11569,1,2,190,627,21762
12059,1,2,496,1465,24434
12148,1,1,6,12,849
12151,3,1,13,23,4262
12347,2,1,24,80,1724
12535,2,1,28,305,9590
